ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
CTT5,small_airport,La Romaine Airport,"-60.6794014, 50.25970078",90,NA,CA,CA-QC,La Romaine,CTT5,,CTT5
CTU2,small_airport,Fontanges Airport,"-71.1733017, 54.55390167",1550,NA,CA,CA-QC,Fontanges,CTU2,,CTU2
CTU4,seaplane_base,Lac Gagnon Seaplane Base,"-75.11530304, 46.11750031",,NA,CA,CA-QC,Duhamel,CTU4,,CTU4
CTU5,small_airport,La Tabatière Airport,"-58.9756012, 50.8307991",102,NA,CA,CA-QC,La Tabatière,CTU5,ZLT,CTU5
CTV2,seaplane_base,Lac-Des-Écorces Seaplane Base,"-75.41860199, 46.54859924",753,NA,CA,CA-QC,,CTV2,,CTV2
CTX2,seaplane_base,Lac Trévet Seaplane Base,"-76.13780212, 48.15940094",1420,NA,CA,CA-QC,,CTX2,,CTX2
CTY3,seaplane_base,Cascades Seaplane Base,"-75.86810303, 45.58580017",340,NA,CA,CA-QC,Cantley,CTY3,,CTY3
CTY4,small_airport,Olds / North 40 Ranch Airstrip,"-114.1478205, 51.90017051",3410,NA,CA,CA-AB,,CTY4,,
CTY5,small_airport,Rougemont Airport,"-73.03780365, 45.43830109",80,NA,CA,CA-QC,Rougemont,CTY5,,CTY5
CU-0001,small_airport,Corral de Rio Airport,"-76.78939819, 19.93779945",1,NA,CU,CU-13,Corral de Rio,,,
CU-0003,small_airport,Preston Airport,"-75.65830231, 20.73500061",13,NA,CU,CU-11,Preston,,PST,
CU-0004,small_airport,Guardalavaca Airport,"-75.81980133, 21.11160088",318,NA,CU,CU-11,Yaguajay,MUGV,,
CU-0005,small_airport,El Caney Airport,"-78.45149994, 21.31699944",9,NA,CU,CU-09,El Caney,,,
CU-0006,small_airport,La Olivia Airport,"-78.46080017, 21.46999931",22,NA,CU,CU-09,La Olivia,,,
CU-0007,small_airport,San Pedro Airport,"-79.78050232, 21.73740005",95,NA,CU,CU-07,San Pedro,,,
CU-0008,small_airport,Mantua Airport,"-84.31220245, 22.25639915",78,NA,CU,CU-01,Mantua,,,
CU-0009,small_airport,La Asunción Airport,"-83.23049927, 22.58320045",122,NA,CU,CU-01,La Asunción,,,
CU-0010,small_airport,El Frances Airport,"-82.92819977, 22.61790085",16,NA,CU,CU-01,El Frances,,,
CU-0011,small_airport,Juan de la Cruz Airport,"-82.03869629, 22.69219971",19,NA,CU,CU-02,Juan de la Cruz,,,
CU-0012,small_airport,Artemisa Airport,"-82.73619843, 22.75169945",141,NA,CU,CU-02,Artemisa,,,
CU-0013,small_airport,SanPedro Highway Airstrip,"-82.47229767, 22.9776001",200,NA,CU,CU-03,Havana,,,
CU-0014,small_airport,San Jose de las Lajas Hgway Airstrip,"-82.13559723, 22.9776001",393,NA,CU,CU-02,San Jose de las Lajas,,,
CU-0015,closed,McCalla Field,"-75.16419983, 19.91150093",,NA,CU,CU-14,Guantanamo Bay Naval Station,,,
CU-0016,small_airport,La Francia Airfield,"-83.21340179, 22.53319931",66,NA,CU,CU-01,,,,
CU-0017,small_airport,Imias Airport,"-74.62540627, 20.08068142",,NA,CU,CU-14,Imias,,,
CU-0018,small_airport,Los Mangos de Baragua Airport,"-75.98992109, 20.44716007",,NA,CU,CU-13,,,,
CU-0019,small_airport,Altagracia Airport,"-76.163342, 20.38083709",,NA,CU,CU-13,,,,
CU-0020,small_airport,Lora Airport,"-76.41594172, 21.16972545",,NA,CU,CU-11,,,,
CU-0021,small_airport,Delicias South Airport,"-76.37845516, 20.68121272",,NA,CU,CU-11,,,,
CU-0022,small_airport,Caio Voisan Airport,"-76.79451942, 20.41104595",,NA,CU,CU-12,,,,
CU-0023,small_airport,Bayamo Northwest Airport,"-76.79989457, 20.47196854",,NA,CU,CU-12,,,,
CU-0024,small_airport,Mateo Roman Airport,"-76.9997406, 20.21597218",105,NA,CU,CU-12,,,,
CU-0025,small_airport,La Escondida Airport,"-76.96935654, 20.44241505",10,NA,CU,CU-12,,,,
CU-0026,small_airport,Cayama Nueva Airport,"-76.90627098, 20.496572",20,NA,CU,CU-12,,,,
CU-0027,small_airport,Guamo Airport,"-76.96336985, 20.65545439",16,NA,CU,CU-12,,,,
CU-0028,small_airport,Puente Guillen Airport,"-77.00222969, 20.720414",39,NA,CU,CU-12,,,,
CU-0029,small_airport,El Dormitorio Airport,"-77.07040071, 20.77176377",66,NA,CU,CU-10,,,,
CU-0030,small_airport,San German Airport,"-76.12431049, 20.58245211",279,NA,CU,CU-11,San German,,,
CU-0031,small_airport,El Congo Airport,"-76.77048683, 21.11332767",207,NA,CU,CU-10,,,,
CU-0032,small_airport,Jobabo Northwest Airport,"-77.30177879, 20.91021466",131,NA,CU,CU-09,,,,
CU-0033,small_airport,Campechuela Airport,"-77.29722977, 20.21879117",165,NA,CU,CU-12,,,,
CU-0034,small_airport,San Jose Northwest Airport,"-77.44436502, 20.86971933",179,NA,CU,CU-10,,,,
CU-0035,small_airport,Francisco Airport,"-77.59832382, 20.79888643",98,NA,CU,CU-10,,,,
CU-0036,small_airport,Hatuey Airport,"-77.56613731, 21.17912966",361,NA,CU,CU-09,,,,
CU-0037,small_airport,Guaicanamar Airport,"-77.90156364, 20.89738564",164,NA,CU,CU-09,,,,
CU-0038,small_airport,Fundo de Buena Ventura Airport,"-78.22038174, 20.93931643",33,NA,CU,CU-09,,,,
CU-0039,small_airport,Los Ingleses Airport,"-78.06914806, 20.82502147",15,NA,CU,CU-09,,,,
CU-0040,small_airport,San Carlos Airport,"-78.12146187, 21.0571087",152,NA,CU,CU-09,,,,
CU-0041,small_airport,Las Cruces Airport,"-78.31767082, 21.05847037",16,NA,CU,CU-09,,,,
CU-0042,small_airport,Vertientes Southwest Airport,"-78.32018137, 21.13180241",65,NA,CU,CU-09,,,,
CU-0043,small_airport,Vertientes Airport,"-78.11575413, 21.23920244",243,NA,CU,CU-09,,,,
CU-0044,small_airport,Cabera Airport,"-78.36848259, 21.17576822",33,NA,CU,CU-09,,,,
CU-0045,small_airport,El Cenizo Airport,"-78.42066765, 21.20033696",22,NA,CU,CU-09,,,,
CU-0046,small_airport,Amansa Guapos Airport,"-78.234694, 21.2619009",110,NA,CU,CU-09,,,,
CU-0047,small_airport,Esmeralda Airport,"-78.13957214, 21.83297821",130,NA,CU,CU-09,,,,
CU-0048,small_airport,Cupeyes Airport,"-78.54057312, 21.87280977",99,NA,CU,CU-08,,,,
CU-0049,small_airport,Moron Airport,"-78.61979485, 22.07927714",50,NA,CU,CU-08,,,,
CU-0050,small_airport,Pina Airport,"-78.6904335, 22.01531552",131,NA,CU,CU-08,,,,
CU-0051,small_airport,El Asiento Airport,"-78.89616966, 22.25128854",66,NA,CU,CU-08,,,,
CU-0052,small_airport,Adelaide Airport,"-78.80965233, 22.17953672",100,NA,CU,CU-08,,,,
CU-0053,small_airport,Jatibonico South Airport,"-79.18295145, 21.90450774",308,NA,CU,CU-07,,,,
CU-0054,small_airport,Ramblazon de Reyes Airport,"-79.07422543, 21.67916433",13,NA,CU,CU-08,,,,
CU-0055,small_airport,Las Crisis Airport,"-79.1432333, 21.65316035",13,NA,CU,CU-07,,,,
CU-0056,small_airport,Maria Rayes Airport,"-79.21264887, 21.66494648",46,NA,CU,CU-07,,,,
CU-0057,small_airport,Las Obas Airport,"-79.33976412, 21.65806637",16,NA,CU,CU-07,,,,
CU-0058,small_airport,Los Galleguitos East Airport,"-79.25605774, 21.60875929",39,NA,CU,CU-07,,,,
CU-0059,small_airport,El Jibaro Airport,"-79.22790527, 21.72202875",98,NA,CU,CU-07,,,,
CU-0060,small_airport,Los Tamarindos Airport,"-79.29785728, 21.71301831",66,NA,CU,CU-07,,,,
CU-0061,small_airport,Las Guasimas Airport,"-79.39785004, 21.69970097",33,NA,CU,CU-07,,,,
CU-0062,small_airport,Viejo Airport,"-79.53054428, 22.36307415",656,NA,CU,CU-05,,,,
CU-0063,small_airport,Jutiera Airport,"-79.728899, 22.6163878",66,NA,CU,CU-05,,,,
CU-0064,small_airport,Purio Airport,"-79.88828659, 22.68316274",66,NA,CU,CU-05,,,,
CU-0065,small_airport,Las Nuevas Airport,"-80.66475391, 22.99239252",95,NA,CU,CU-05,,,,
CU-0066,small_airport,Marti East Airport,"-80.89310646, 22.95088508",49,NA,CU,CU-04,,,,
CU-0067,small_airport,Los Arabos Airport,"-80.73586464, 22.73262889",243,NA,CU,CU-04,,,,
CU-0068,small_airport,Mieles Airport,"-81.12980604, 22.97115637",33,NA,CU,CU-04,,,,
CU-0069,small_airport,Jaguey Grande North Airport,"-81.11180305, 22.58914473",30,NA,CU,CU-04,,,,
CU-0070,small_airport,Giron Airport,"-81.03833199, 22.07530027",16,NA,CU,CU-04,,,,
CU-0071,small_airport,Union de Reyes Airport,"-81.49804115, 22.80371874",230,NA,CU,CU-04,,,,
CU-0072,small_airport,Aguacate Airport,"-81.89191818, 22.98735541",318,NA,CU,CU-02,,,,
CU-0073,small_airport,Santa Fe Airport,"-82.51148701, 23.07250665",15,NA,CU,CU-03,,,,
CU-0074,small_airport,Guira de Melena Airport,"-82.5476861, 22.78379832",43,NA,CU,CU-02,,,,
CU-0075,small_airport,Branas Airport,"-83.09743166, 22.60325475",66,NA,CU,CU-01,,,,
CU-0076,small_airport,Alturas Airport,"-83.27804089, 22.93450382",33,NA,CU,CU-01,,,,
CU-0077,small_airport,La Cubana Airport,"-83.18611622, 22.44858486",37,NA,CU,CU-01,,,,
CU-0078,small_airport,Los Zagales Airport,"-83.27868462, 22.42308891",43,NA,CU,CU-01,,,,
CU-0079,small_airport,Caserio la Jocuma North Airport,"-83.36200476, 22.46088986",85,NA,CU,CU-01,,,,
CU-0080,small_airport,Las Cruces Airport,"-83.44090462, 22.27206031",39,NA,CU,CU-01,,,,
CU-0081,small_airport,Las Glorias Airport,"-80.49974442, 22.3923011",98,NA,CU,CU-06,,,,
cvb2,small_airport,Voisey's Bay,"-62.08805556, 56.34472222",,NA,CA,CA-NL,,CVB2,,CVB2
CVF2,small_airport,Fergus (Vodarek Field),"-80.2893734, 43.7232733",1380,NA,CA,CA-ON,,CVF2,,
CVG8,heliport,Vegreville (St. Joseph's General Hospital) Heliport,"-112.0329971, 53.4939003",2079,NA,CA,CA-AB,Vegreville,CVG8,,CVG8
CVH,small_airport,Hollister Municipal Airport,"-121.4100037, 36.8932991",230,NA,US,US-CA,Hollister,KCVH,HLI,CVH
CVH2,heliport,Vermilion Health Centre Heliport,"-110.8720016, 53.35580063",2011,NA,CA,CA-AB,Vermilion,CVH2,,CVH2
CVH7,heliport,Vulcan (Hospital) Heliport,"-113.2595587, 50.39579107",3451,NA,CA,CA-AB,Vulcan,CVH7,,CVH7
CVK2,heliport,Viking Health Centre Helipad,"-111.7765975, 53.10045339",2240,NA,CA,CA-AB,,CVK2,,VK2
CVL,small_airport,Cape Vogel Airport,"150.0197222, -9.67",20,OC,PG,PG-MBA,,,CVL,CVG
CVR,closed,Hughes Airport,"-118.417, 33.975",17,NA,US,US-CA,Culver City,,CVR,
CVS2,small_airport,Viking (South) Airport,"-111.9489975, 53.02560043",2242,NA,CA,CA-AB,Viking,CVS2,,CVS2
CVW2,seaplane_base,Vernon/Wildlife Seaplane Base,"-119.3440018, 50.24359894",1122,NA,CA,CA-BC,,CVW2,,CVW2
CWC1,small_airport,White City (Radomsky) Airport,"-104.3059998, 50.43970108",2020,NA,CA,CA-SK,White City,CWC1,,CWC1
CWC2,heliport,Kelowna (Wildcat Helicopters) Heliport,"-119.5792294, 49.8674232",1640,NA,CA,CA-BC,Kelowna,CWC2,,CWC2
CWC4,heliport,Wetaskiwin (Hospital & Care Centre) Heliport,"-113.3680701, 52.98843413",2494,NA,CA,CA-AB,Wetaskiwin,CWC4,,CWC4
cwf2,small_airport,Walter's Falls (Piper Way) Airfield,"-80.62147379, 44.46387995",1400,NA,CA,CA-ON,,CWF2,,
CWG2,heliport,Winnipeg (City of Winnipeg) Heliport,"-97.09555328, 49.9004725",763,NA,CA,CA-MB,,CWG2,,WG2
CWH2,heliport,Wainwright (Health Centre) Heliport,"-110.8647349, 52.84297853",2262,NA,CA,CA-AB,Wainwright,CWH2,,CWH2
CWH3,heliport,Woodstock (Hospital) Heliport,"-80.75442016, 43.10555757",1046,NA,CA,CA-ON,,CWH3,,
CWJC,small_airport,Ennadai Lake Airport,"-100.9, 61.13333333",1021,NA,CA,CA-NU,Ennadai,CWJC,,
cwp3,heliport,Leslieville / W. Pidhirney Residence Heliport,"-114.5713466, 52.35927414",3130,NA,CA,CA-AB,,CWP3,,
CXC,small_airport,Chitina Airport,"-144.427002, 61.582901",556,NA,US,US-AK,Chitina,CXC,CXC,CXC
CY-0001,small_airport,Lakatamia Airport,"33.32130432, 35.10638428",,AS,CY,CY-02,,,,
CY-0002,medium_airport,Geçitkale Air Base,"33.72435761, 35.23594666",146,AS,CY,CY-03,Geçitkale,,GEC,
CY-0003,small_airport,Pınarbaşı Air Base,"33.26728439, 35.27646637",,AS,CY,CY-01,,,,
CY-0004,small_airport,Kingsfield Air Base,"33.71585083, 35.0142746",288,AS,CY,CY-04,,LCRE,,
CY-0005,small_airport,Kornos Highway Strip,"33.4037323, 34.90967178",,AS,CY,CY-04,,,,
CY-0006,small_airport,Kophinou Highway Strip,"33.42447639, 34.8404183",,AS,CY,CY-04,,,,
CY-0007,small_airport,Marki Airfield,"33.310869, 35.01622",,AS,CY,CY-02,,,,
CY-NIC,closed,Nicosia International Airport,"33.27870178, 35.1507988",,AS,CY,CY-02,Nicosia,LCNC,NIC,
CYAB,small_airport,Arctic Bay Airport,"-85.04250526, 73.00576682",72,NA,CA,CA-NU,,CYAB,,
CYAC,medium_airport,Cat Lake Airport,"-91.82440186, 51.72719955",1344,NA,CA,CA-ON,Cat Lake,CYAC,YAC,
CYAD,small_airport,La Grande-3 Airport,"-76.1964035, 53.57170105",775,NA,CA,CA-QC,La Grande-3,CYAD,YAR,YAD
CYAG,medium_airport,Fort Frances Municipal Airport,"-93.43969727, 48.65420151",1125,NA,CA,CA-ON,Fort Frances,CYAG,YAG,
CYAH,medium_airport,La Grande-4 Airport,"-73.6753006, 53.75469971",1005,NA,CA,CA-QC,La Grande-4,CYAH,YAH,
CYAL,medium_airport,Alert Bay Airport,"-126.9160004, 50.5821991",240,NA,CA,CA-BC,Alert Bay,CYAL,YAL,
CYAM,medium_airport,Sault Ste Marie Airport,"-84.50939941, 46.48500061",630,NA,CA,CA-ON,Sault Ste Marie,CYAM,YAM,
CYAQ,medium_airport,Kasabonika Airport,"-88.64279938, 53.52470016",672,NA,CA,CA-ON,Kasabonika,CYAQ,XKS,
CYAS,medium_airport,Kangirsuk Airport,"-69.99919891, 60.02719879",403,NA,CA,CA-QC,Kangirsuk,CYAS,YKG,
CYAT,medium_airport,Attawapiskat Airport,"-82.43190002, 52.92750168",31,NA,CA,CA-ON,Attawapiskat,CYAT,YAT,
CYAU,medium_airport,Liverpool South Shore Regional Airport,"-64.85610199, 44.2303009",321,NA,CA,CA-NS,Liverpool,CYAU,,YAU
CYAV,medium_airport,Winnipeg / St. Andrews Airport,"-97.03250122, 50.0564003",760,NA,CA,CA-MB,Winnipeg,CYAV,,YAV
CYAW,heliport,Halifax / CFB Shearwater Heliport,"-63.49940109, 44.63970184",144,NA,CA,CA-NS,Halifax,CYAW,YAW,
CYAX,medium_airport,Lac Du Bonnet Airport,"-96.01000214, 50.29439926",850,NA,CA,CA-MB,Lac Du Bonnet,CYAX,,YAX
CYAY,medium_airport,St. Anthony Airport,"-56.08309937, 51.39189911",108,NA,CA,CA-NL,St. Anthony,CYAY,YAY,
CYAZ,medium_airport,Tofino / Long Beach Airport,"-125.7756042, 49.07982555",80,NA,CA,CA-BC,Tofino,CYAZ,YAZ,
CYBA,small_airport,Banff Airport,"-115.5418611, 51.20734047",4583,NA,CA,CA-AB,Banff,CYBA,YBA,
CYBB,medium_airport,Kugaaruk Airport,"-89.80809784, 68.53440094",56,NA,CA,CA-NU,Kugaaruk,CYBB,YBB,
CYBC,medium_airport,Baie Comeau Airport,"-68.20439911, 49.13249969",71,NA,CA,CA-QC,Baie-Comeau,CYBC,YBC,
CYBD,medium_airport,Bella Coola Airport,"-126.5960007, 52.38750076",117,NA,CA,CA-BC,Bella Coola,CYBD,QBC,
CYBE,medium_airport,Uranium City Airport,"-108.4810028, 59.56140137",1044,NA,CA,CA-SK,Uranium City,CYBE,YBE,
CYBF,medium_airport,Bonnyville Airport,"-110.7440033, 54.30419922",1836,NA,CA,CA-AB,Bonnyville,CYBF,YBY,
CYBG,medium_airport,CFB Bagotville,"-70.99639893, 48.33060074",522,NA,CA,CA-QC,Bagotville,CYBG,YBG,
CYBK,medium_airport,Baker Lake Airport,"-96.07779694, 64.29889679",59,NA,CA,CA-NU,Baker Lake,CYBK,YBK,
CYBL,medium_airport,Campbell River Airport,"-125.2710037, 49.95080185",346,NA,CA,CA-BC,Campbell River,CYBL,YBL,
CYBN,heliport,CFB Borden,"-79.91249847, 44.27170181",729,NA,CA,CA-ON,Borden,CYBN,YBN,
CYBP,small_airport,Brooks Regional,"-111.9260025, 50.63359833",2490,NA,CA,CA-AB,Brooks,CYBP,,CYBP
CYBQ,medium_airport,Tadoule Lake Airport,"-98.5121994, 58.70610046",923,NA,CA,CA-MB,Tadoule Lake,CYBQ,XTL,
CYBR,medium_airport,Brandon Municipal Airport,"-99.95189667, 49.90999985",1343,NA,CA,CA-MB,Brandon,CYBR,YBR,
CYBT,medium_airport,Brochet Airport,"-101.6790009, 57.88940048",1136,NA,CA,CA-MB,Brochet,CYBT,YBT,
CYBU,medium_airport,Nipawin Airport,"-104.0080032, 53.33250046",1220,NA,CA,CA-SK,Nipawin,CYBU,,
CYBV,medium_airport,Berens River Airport,"-97.01830292, 52.35889816",728,NA,CA,CA-MB,Berens River,CYBV,YBV,
CYBW,medium_airport,Calgary / Springbank Airport,"-114.3740005, 51.10309982",3940,NA,CA,CA-AB,Calgary,CYBW,,YBW
CYBX,medium_airport,Lourdes de Blanc Sablon Airport,"-57.18529892, 51.4435997",121,NA,CA,CA-QC,Lourdes-De-Blanc-Sablon,CYBX,YBX,
CYCA,medium_airport,Cartwright Airport,"-57.04190063, 53.68280029",40,NA,CA,CA-NL,Cartwright,CYCA,YRF,
CYCB,medium_airport,Cambridge Bay Airport,"-105.1380005, 69.10810089",90,NA,CA,CA-NU,Cambridge Bay,CYCB,YCB,
CYCC,medium_airport,Cornwall Regional Airport,"-74.56330109, 45.09280014",175,NA,CA,CA-ON,Cornwall,CYCC,YCC,
CYCD,medium_airport,Nanaimo Airport,"-123.8698626, 49.05497022",92,NA,CA,CA-BC,Nanaimo,CYCD,YCD,
CYCE,medium_airport,James T. Field Memorial Aerodrome,"-81.50830078, 43.28559875",824,NA,CA,CA-ON,Centralia,CYCE,YCE,
CYCG,medium_airport,Castlegar/West Kootenay Regional Airport,"-117.6320038, 49.29639816",1624,NA,CA,CA-BC,Castlegar,CYCG,YCG,
CYCH,medium_airport,Miramichi Airport,"-65.44920349, 47.00780106",108,NA,CA,CA-NB,Miramichi,CYCH,YCH,
CYCK,small_airport,Chatham Kent Airport,"-82.08190155, 42.3064003",650,NA,CA,CA-ON,Chatham-Kent,CYCK,XCM,NZ3
CYCL,medium_airport,Charlo Airport,"-66.33029938, 47.99079895",132,NA,CA,CA-NB,Charlo,CYCL,YCL,
CYCN,medium_airport,Cochrane Airport,"-81.01360321, 49.10559845",861,NA,CA,CA-ON,Cochrane,CYCN,YCN,
CYCO,medium_airport,Kugluktuk Airport,"-115.1439972, 67.8167038",74,NA,CA,CA-NU,Kugluktuk,CYCO,YCO,
CYCP,medium_airport,Blue River Airport,"-119.2829971, 52.11669922",2240,NA,CA,CA-BC,Blue River,CYCP,,
CYCQ,medium_airport,Chetwynd Airport,"-121.6269989, 55.68719864",2000,NA,CA,CA-BC,Chetwynd,CYCQ,YCQ,
CYCR,medium_airport,Cross Lake (Charlie Sinclair Memorial) Airport,"-97.76080322, 54.61059952",709,NA,CA,CA-MB,Cross Lake,CYCR,YCR,
CYCS,medium_airport,Chesterfield Inlet Airport,"-90.73110199, 63.34690094",32,NA,CA,CA-NU,Chesterfield Inlet,CYCS,YCS,
CYCT,small_airport,Coronation Airport,"-111.4449997, 52.07500076",2595,NA,CA,CA-AB,Coronation,CYCT,YCT,
CYCV,closed,Cartierville Airport,"-73.71669769, 45.51670074",120,NA,CA,CA-QC,Montreal,CYCV,YCV,
CYCW,small_airport,Chilliwack Airport,"-121.939003, 49.15280151",32,NA,CA,CA-BC,Chilliwack,CYCW,YCW,
CYCX,heliport,CFB Gagetown Heliport,"-66.43672675, 45.83767805",166,NA,CA,CA-NB,Gagetown,CYCX,YCX,
CYCY,medium_airport,Clyde River Airport,"-68.51670074, 70.48609924",87,NA,CA,CA-NU,Clyde River,CYCY,YCY,
CYCZ,small_airport,Fairmont Hot Springs Airport,"-115.8730011, 50.33029938",2661,NA,CA,CA-BC,Fairmont Hot Springs,CYCZ,YCZ,
CYDA,medium_airport,Dawson City Airport,"-139.128006, 64.04309845",1215,NA,CA,CA-YT,Dawson City,CYDA,YDA,
CYDB,medium_airport,Burwash Airport,"-139.0410004, 61.37110138",2647,NA,CA,CA-YT,Burwash,CYDB,YDB,
CYDC,medium_airport,Princeton Airport,"-120.5110016, 49.4681015",2298,NA,CA,CA-BC,Town of Princeton,CYDC,,
CYDF,medium_airport,Deer Lake Airport,"-57.39139938, 49.21080017",72,NA,CA,CA-NL,Deer Lake,CYDF,YDF,
CYDH,heliport,Ottawa / Dwyer Hill Heliport,"-75.94830322, 45.13059998",325,NA,CA,CA-ON,Ottawa,CYDH,,CYDH
CYDL,small_airport,Dease Lake Airport,"-130.0319977, 58.42219925",2600,NA,CA,CA-BC,Dease Lake,CYDL,YDL,
CYDM,medium_airport,Ross River Airport,"-132.4230042, 61.97060013",2314,NA,CA,CA-YT,Ross River,CYDM,XRR,YDM
CYDN,medium_airport,Dauphin Barker Airport,"-100.052002, 51.10079956",999,NA,CA,CA-MB,Dauphin,CYDN,YDN,
CYDO,medium_airport,Dolbeau St Felicien Airport,"-72.375, 48.7784996",372,NA,CA,CA-QC,Dolbeau-St-Félicien,CYDO,YDO,
CYDP,medium_airport,Nain Airport,"-61.68030167, 56.54919815",22,NA,CA,CA-NL,Nain,CYDP,YDP,
CYDQ,medium_airport,Dawson Creek Airport,"-120.1829987, 55.74229813",2148,NA,CA,CA-BC,Dawson Creek,CYDQ,YDQ,
CYEA,small_airport,Empress Airport,"-110.0130005, 50.93330002",2211,NA,CA,CA-AB,Empress,CYEA,,
CYED,heliport,Edmonton (CFB Namao) Heliport,"-113.4725475, 53.6679343",2257,NA,CA,CA-AB,Edmonton,CYED,YED,CYED
CYEE,medium_airport,Huronia Airport,"-79.92829895, 44.68330002",770,NA,CA,CA-ON,Midland,CYEE,,YEE
CYEG,large_airport,Edmonton International Airport,"-113.5800018, 53.30970001",2373,NA,CA,CA-AB,Edmonton,CYEG,YEG,CYEG
CYEK,medium_airport,Arviat Airport,"-94.07080078, 61.09420013",32,NA,CA,CA-NU,Arviat,CYEK,YEK,
CYEL,medium_airport,Elliot Lake Municipal Airport,"-82.56140137, 46.35139847",1087,NA,CA,CA-ON,Elliot Lake,CYEL,YEL,
CYEM,medium_airport,Manitoulin East Municipal Airport,"-81.85810089, 45.84280014",869,NA,CA,CA-ON,Manitowaning,CYEM,YEM,
CYEN,medium_airport,Estevan Airport,"-102.9660034, 49.21030045",1905,NA,CA,CA-SK,Estevan,CYEN,YEN,
CYER,medium_airport,Fort Severn Airport,"-87.67610168, 56.01890182",48,NA,CA,CA-ON,Fort Severn,CYER,YER,
CYES,small_airport,Edmundston Airport,"-68.48190308, 47.49060059",490,NA,CA,CA-NB,Edmundston,CYES,,
CYET,medium_airport,Edson Airport,"-116.4649963, 53.57889938",3043,NA,CA,CA-AB,Edson,CYET,YET,
CYEU,small_airport,Eureka Airport,"-85.81420136, 79.99469757",256,NA,CA,CA-NU,Eureka,CYEU,YEU,
CYEV,medium_airport,Inuvik Mike Zubko Airport,"-133.4830017, 68.30419922",224,NA,CA,CA-NT,Inuvik,CYEV,YEV,
CYEY,medium_airport,Amos Magny Airport,"-78.24970245, 48.56389999",1068,NA,CA,CA-QC,Amos,CYEY,YEY,
CYFA,medium_airport,Fort Albany Airport,"-81.69689941, 52.20140076",48,NA,CA,CA-ON,Fort Albany,CYFA,YFA,
CYFB,medium_airport,Iqaluit Airport,"-68.55580139, 63.75640106",110,NA,CA,CA-NU,Iqaluit,CYFB,YFB,
CYFC,medium_airport,Fredericton Airport,"-66.53720093, 45.8689003",68,NA,CA,CA-NB,Fredericton,CYFC,YFC,
CYFD,small_airport,Brantford Municipal Airport,"-80.34249878, 43.13140106",815,NA,CA,CA-ON,Brantford,CYFD,,
CYFE,medium_airport,Forestville Airport,"-69.09719849, 48.74610138",293,NA,CA,CA-QC,Forestville,CYFE,YFE,
CYFH,medium_airport,Fort Hope Airport,"-87.90779877, 51.56190109",899,NA,CA,CA-ON,Fort Hope,CYFH,YFH,
CYFJ,medium_airport,La Macaza / Mont-Tremblant International Inc Airport,"-74.77999878, 46.40940094",827,NA,CA,CA-QC,Rivière Rouge,CYFJ,YTM,
CYFO,medium_airport,Flin Flon Airport,"-101.6819992, 54.67810059",997,NA,CA,CA-MB,Flin Flon,CYFO,YFO,
CYFR,medium_airport,Fort Resolution Airport,"-113.6900024, 61.18080139",526,NA,CA,CA-NT,Fort Resolution,CYFR,YFR,
CYFS,medium_airport,Fort Simpson Airport,"-121.2369995, 61.7602005",555,NA,CA,CA-NT,Fort Simpson,CYFS,YFS,
CYFT,medium_airport,Makkovik Airport,"-59.18640137, 55.07690048",234,NA,CA,CA-NL,Makkovik,CYFT,YMN,
CYGB,medium_airport,Texada Gillies Bay Airport,"-124.5179977, 49.69419861",326,NA,CA,CA-BC,Texada,CYGB,YGB,
CYGD,medium_airport,Goderich Airport,"-81.71060181, 43.76689911",712,NA,CA,CA-ON,Goderich,CYGD,,YGD
CYGE,medium_airport,Golden Airport,"-116.9820023, 51.29919815",2575,NA,CA,CA-BC,Golden,CYGE,,
CYGH,medium_airport,Fort Good Hope Airport,"-128.651001, 66.24079895",268,NA,CA,CA-NT,Fort Good Hope,CYGH,YGH,
CYGK,medium_airport,Kingston Norman Rogers Airport,"-76.59690094, 44.22529984",305,NA,CA,CA-ON,Kingston,CYGK,YGK,
CYGL,medium_airport,La Grande Rivière Airport,"-77.70420074, 53.62530136",639,NA,CA,CA-QC,La Grande Rivière,CYGL,YGL,
CYGM,medium_airport,Gimli Industrial Park Airport,"-97.04329681, 50.62810135",753,NA,CA,CA-MB,Gimli,CYGM,YGM,
CYGO,medium_airport,Gods Lake Narrows Airport,"-94.49140167, 54.55889893",617,NA,CA,CA-MB,Gods Lake Narrows,CYGO,YGO,
CYGP,medium_airport,Gaspé (Michel-Pouliot) Airport,"-64.47859955, 48.77529907",112,NA,CA,CA-QC,Gaspé,CYGP,YGP,
CYGQ,medium_airport,Geraldton Greenstone Regional Airport,"-86.93939972, 49.77830124",1144,NA,CA,CA-ON,Geraldton,CYGQ,YGQ,
CYGR,medium_airport,Îles-de-la-Madeleine Airport,"-61.77809906, 47.42470169",35,NA,CA,CA-QC,Îles-de-la-Madeleine,CYGR,YGR,
CYGT,medium_airport,Igloolik Airport,"-81.81610107, 69.36470032",174,NA,CA,CA-NU,Igloolik,CYGT,YGT,
CYGV,medium_airport,Havre St Pierre Airport,"-63.6114006, 50.2818985",124,NA,CA,CA-QC,Havre St-Pierre,CYGV,YGV,
CYGW,medium_airport,Kuujjuarapik Airport,"-77.76529694, 55.2818985",34,NA,CA,CA-QC,Kuujjuarapik,CYGW,YGW,
